poste,nom,tit,entrees,buts,team,J01,J02,J03,J04,J05,J06,J07,J08,J09,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29*
A,Bowen,,,,H,,,,,,,,,,<,,<,,<,,<,<,,,,,,,,,,,,
G,Schmeichel,,,,L,5,6,6,3,,,7,5,6,6,,,,,,,6,4,7,6,3,5,5,5,5,7,5,,6
G,Zieler,,,,L,,,<,,6,4,,,,,5,4,4,5,5,5,,,,,,,,,,,,,
D,Simpson,,,,L,4,5,5,4,6,2,5,,6,6,4,3,5,5,5,,4,4,6,5,<,4,4,3,4,5,6,,5
D,Hernandez,,,,L,3,,,<,,,,4,,,,,,,,4,,,,,,,,,,,,,
D,Morgan,,,,L,4,5,6,3,5,3,5,4,5,5,4,4,4,4,5,5,5,4,5,5,4,3,5,4,4,5,5,,:1
D,Fuchs,,,,L,5,5,4,3,8,3,5,3,6,6,5,4,4,4,5,5,7,,<,5,2,3,5,3,4,7,6,,5:2
D,Huth,,,,L,,5,5,3,6,3,6,3,5,4,4,4,5,4,6,5,6,,5,6,4,5,5,3,4,6,6,,6:1/(-1)
D,Chilwell,,,,L,,,,,,,,,,,,,,,,,,4,5,,4,,,,<,<,,,<
D,Ndidi,,,,L,,,,,,,,,,,,,,,,,,,,,4,5,6,5,4,6,6,,5
D,Benalouane,,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
